date,1. open,2. high,3. low,4. close,5. volume
2024-06-07,131.95,133.3799,131.29,132.98,2365340.0
2024-06-06,132.46,134.35,132.28,132.82,2269636.0
2024-06-05,130.54,134.2,130.01,133.56,2707455.0
2024-06-04,131.24,132.25,130.2801,130.85,2893665.0
2024-06-03,130.0,132.58,130.0,131.4,3114841.0
2024-05-31,131.0,134.065,129.56,130.41,5333147.0
2024-05-30,125.3,135.18,125.3,131.42,5138548.0
2024-05-29,146.74,146.99,144.75,145.48,1603212.0
2024-05-28,150.82,151.19,147.7,148.21,1366918.0
2024-05-24,150.81,151.4555,149.56,150.66,784333.0
2024-05-23,152.47,152.47,150.11,150.55,1005202.0
2024-05-22,153.58,154.49,152.64,152.87,1231261.0
2024-05-21,154.35,154.65,152.34,153.67,997114.0
2024-05-20,153.97,154.95,153.465,154.64,906242.0
2024-05-17,154.51,155.35,153.03,154.23,1856998.0
2024-05-16,152.57,154.84,152.57,154.31,1325064.0
2024-05-15,153.0,154.55,152.51,154.08,1524633.0
2024-05-14,148.75,151.55,148.38,151.28,1679903.0
2024-05-13,149.53,150.26,147.18,147.76,1317676.0
2024-05-10,145.89,152.81,145.12,149.76,2246750.0
2024-05-09,143.11,145.48,142.82,145.14,1254089.0
2024-05-08,141.12,143.0,140.04,142.8,1423532.0
2024-05-07,141.12,142.15,139.76,141.27,1486842.0
2024-05-06,139.54,141.47,138.335,140.61,1639410.0
2024-05-03,139.69,140.95,138.41,139.45,1097922.0
2024-05-02,139.23,139.885,136.71,137.52,1146813.0
2024-05-01,136.72,140.56,136.13,138.69,850440.0
2024-04-30,138.6,139.65,136.97,137.04,1087383.0
2024-04-29,138.26,139.87,137.88,139.59,781155.0
2024-04-26,136.45,138.36,135.0,137.74,754945.0
2024-04-25,137.06,137.21,134.12,136.37,940765.0
2024-04-24,138.34,139.89,136.21,137.49,1553274.0
2024-04-23,137.98,139.65,136.015,139.2,1979443.0
2024-04-22,133.54,135.02,131.78,133.91,850521.0
2024-04-19,133.06,133.74,132.15,132.73,1303352.0
2024-04-18,131.26,134.44,128.34,132.44,1936566.0
2024-04-17,137.24,137.46,132.87,134.55,2084075.0
2024-04-16,140.28,140.36,136.625,136.8,1345667.0
2024-04-15,142.31,143.25,139.02,140.22,1506028.0
2024-04-12,143.59,144.66,140.26,140.73,1124507.0
2024-04-11,145.65,145.857,143.67,145.0,720175.0
2024-04-10,144.42,145.06,143.55,144.16,1051822.0
2024-04-09,146.0,147.43,145.5004,147.4,872547.0
2024-04-08,143.8,145.79,143.01,144.46,1246737.0
2024-04-05,144.18,145.5,143.43,144.12,1655568.0
2024-04-04,145.12,145.26,141.13,141.34,1183934.0
2024-04-03,143.77,144.85,142.795,143.73,1209275.0
2024-04-02,144.02,144.33,142.59,144.17,1376340.0
2024-04-01,146.18,146.5,144.42,145.56,967395.0
